"","Player","POS","Team","Age","GP","W","L","Min","PTS"
"60","Julian Champagnie","F","SAS",21,17,7,10,320.1,165
"61","Bennedict Mathurin","SG","IND",20,78,33,45,2222.4,1302
"62","Keon Johnson","SG","POR",21,40,13,27,416.4,189
"63","Luka Doncic","PG","DAL",24,66,33,33,2390.5,2138
"64","Jalen Johnson","SF","ATL",21,70,35,35,1041.6,395
"65","JT Thor","F","CHA",20,69,22,47,968.8,262
"66","Yuta Watanabe","SF","BKN",28,58,30,28,927.8,322
"67","Dalano Banton","PG","TOR",23,31,17,14,278.5,142
"68","Christian Wood","F","DAL",27,67,33,34,1738.4,1114
"69","Moses Moody","SG","GSW",20,63,37,26,817.1,302
"70","Johnny Davis","G","WAS",21,28,10,18,422.6,163
"71","Reggie Jackson","PG","DEN",33,68,36,32,1656.9,693
"72","Torrey Craig","SF","PHX",32,79,44,35,1947.8,588
"73","Nerlens Noel","C","BKN",29,17,4,13,194.7,35
"74","Reggie Jackson","PG","DEN",33,68,36,32,1656.9,693
"75","Eric Gordon","SG","LAC",34,69,25,44,1965.5,856
"76","Jarred Vanderbilt","PF","LAL",24,78,43,35,1879.7,619
"77","Vince Williams Jr.","G","MEM",22,15,7,8,104.6,30
"78","Delon Wright","SG","WAS",31,50,26,24,1221.2,369
"79","Onyeka Okongwu","PF","ATL",22,80,41,39,1848.6,791
"80","Klay Thompson","SG","GSW",33,69,38,31,2278.9,1509
"81","Kevin Durant","PF","PHX",34,47,34,13,1671.8,1366
"82","Kristaps Porzingis","C","WAS",27,65,27,38,2119.5,1505
"83","Kelly Oubre Jr.","SG","CHA",27,48,16,32,1547.5,972
"84","Javonte Green","SF","CHI",29,32,13,19,480.3,165
"85","Thomas Bryant","C","DEN",25,59,33,26,1081.5,579
"86","Jericho Sims","C","NYK",24,52,31,21,812.4,178
"87","Nathan Knight","F","MIN",25,38,19,19,290.7,139
"88","Nathan Knight","F","MIN",25,38,19,19,290.7,139
"89","Kobi Simmons","G","CHA",25,5,1,4,27.8,5
"90","Kevon Harris","G","ORL",25,34,12,22,457,141
"91","RJ Barrett","SG","NYK",22,73,40,33,2475.5,1431
"92","Wesley Matthews","SG","MIL",36,52,37,15,820.4,179
"93","Hamidou Diallo","SG","DET",24,56,12,44,995.9,522
"94","Nic Claxton","C","BKN",24,76,41,35,2270.7,961
"95","Brandon Boston Jr.","SG","LAC",21,22,9,13,248.3,143
"96","Corey Kispert","SF","WAS",24,74,31,43,2093.3,820
"97","Frank Jackson","N/A","UTA",24,1,0,1,5,0
"98","Wesley Matthews","SG","MIL",36,52,37,15,820.4,179
"99","McKinley Wright IV","PG","DAL",24,27,14,13,335,114
"100","Drew Eubanks","PF","POR",26,78,31,47,1583.7,518
