"","state.code","age","income","residents","education.code","education","metro.size","degree"
"58",23,53,102979,2,44,18,0,"4-year degree"
"59",23,29,125825,2,40,13,0,"no 4-year degree"
"60",23,32,125825,2,39,12,0,"no 4-year degree"
"61",23,65,22056,1,44,18,0,"4-year degree"
"62",23,80,95664,2,44,18,0,"4-year degree"
"63",23,75,95664,2,44,18,0,"4-year degree"
"64",23,76,82382,2,43,16,0,"4-year degree"
"65",23,75,82382,2,44,18,0,"4-year degree"
"66",23,44,46901,3,43,16,0,"4-year degree"
"67",23,15,46901,3,34,8,0,"no 4-year degree"
"68",23,11,46901,3,0,0,0,"no 4-year degree"
"69",23,78,18666,1,39,12,0,"no 4-year degree"
"70",23,35,116746,2,43,16,0,"4-year degree"
"71",23,23,116746,2,39,12,0,"no 4-year degree"
"72",23,76,60625,2,43,16,0,"4-year degree"
"73",23,73,60625,2,45,20,0,"4-year degree"
"74",23,38,129294,4,43,16,0,"4-year degree"
"75",23,40,129294,4,45,20,0,"4-year degree"
"76",23,3,129294,4,0,0,0,"no 4-year degree"
"77",23,1,129294,4,0,0,0,"no 4-year degree"
"78",23,24,18002,1,43,16,0,"4-year degree"
"79",23,70,177017,1,40,13,0,"no 4-year degree"
"80",23,48,37201,3,44,18,0,"4-year degree"
"81",23,12,37201,3,0,0,0,"no 4-year degree"
"82",23,7,37201,3,0,0,0,"no 4-year degree"
"83",23,54,108317,3,40,13,0,"no 4-year degree"
"84",23,38,108317,3,43,16,0,"4-year degree"
"85",23,18,108317,3,37,11,0,"no 4-year degree"
"86",23,38,1552,5,40,13,0,"no 4-year degree"
"87",23,18,1552,5,37,11,0,"no 4-year degree"
"88",23,15,1552,5,34,8,0,"no 4-year degree"
"89",23,4,1552,5,0,0,0,"no 4-year degree"
"90",23,2,1552,5,0,0,0,"no 4-year degree"
"91",23,51,27906,2,35,9,0,"no 4-year degree"
"92",23,44,27906,2,35,9,0,"no 4-year degree"
"93",23,78,36484,2,42,14,0,"no 4-year degree"
"94",23,33,36484,2,39,12,0,"no 4-year degree"
"95",23,62,18683,1,39,12,0,"no 4-year degree"
"96",23,68,137744,2,44,18,0,"4-year degree"
"97",23,64,137744,2,44,18,0,"4-year degree"
"98",23,37,30000,1,37,11,0,"no 4-year degree"
"99",23,85,33192,2,39,12,0,"no 4-year degree"
"100",23,85,33192,2,33,6,0,"no 4-year degree"
"101",23,68,82791,2,41,14,0,"no 4-year degree"
"102",23,67,82791,2,41,14,0,"no 4-year degree"
"103",23,55,66042,2,39,12,0,"no 4-year degree"
"104",23,49,66042,2,36,10,0,"no 4-year degree"
"105",23,72,33298,1,43,16,0,"4-year degree"
"106",23,71,106560,2,39,12,0,"no 4-year degree"
"107",23,61,106560,2,44,18,0,"4-year degree"
"108",23,77,19228,1,39,12,0,"no 4-year degree"
"109",23,73,128841,2,40,13,0,"no 4-year degree"
"110",23,64,128841,2,43,16,0,"4-year degree"
"111",23,68,73142,1,43,16,0,"4-year degree"
"112",23,80,87406,1,43,16,0,"4-year degree"
"113",23,48,106735,4,43,16,0,"4-year degree"
"114",23,55,106735,4,39,12,0,"no 4-year degree"
"115",23,15,106735,4,35,9,0,"no 4-year degree"
"116",23,11,106735,4,0,0,0,"no 4-year degree"
"117",23,63,67497,2,43,16,0,"4-year degree"
"118",23,64,67497,2,40,13,0,"no 4-year degree"
"119",23,85,20184,1,39,12,0,"no 4-year degree"
"120",23,28,8865,5,37,11,0,"no 4-year degree"
"121",23,11,8865,5,0,0,0,"no 4-year degree"
"122",23,6,8865,5,0,0,0,"no 4-year degree"
"123",23,2,8865,5,0,0,0,"no 4-year degree"
"124",23,30,8865,5,39,12,0,"no 4-year degree"
"125",23,44,11382,1,40,13,0,"no 4-year degree"
"126",23,38,162204,2,43,16,0,"4-year degree"
"127",23,40,162204,2,44,18,0,"4-year degree"
"128",23,70,30604,2,40,13,0,"no 4-year degree"
"129",23,69,30604,2,43,16,0,"4-year degree"
"130",23,65,115555,4,39,12,0,"no 4-year degree"
"131",23,71,115555,4,41,14,0,"no 4-year degree"
"132",23,44,115555,4,39,12,0,"no 4-year degree"
"133",23,40,115555,4,39,12,0,"no 4-year degree"
"134",23,76,34023,1,40,13,0,"no 4-year degree"
"135",23,44,149802,5,43,16,0,"4-year degree"
"136",23,53,149802,5,39,12,0,"no 4-year degree"
"137",23,21,149802,5,40,13,0,"no 4-year degree"
"138",23,14,149802,5,0,0,0,"no 4-year degree"
"139",23,11,149802,5,0,0,0,"no 4-year degree"
"140",23,69,312366,2,43,16,0,"4-year degree"
"141",23,59,312366,2,45,20,0,"4-year degree"
"142",23,70,90291,2,39,12,0,"no 4-year degree"
"143",23,69,90291,2,39,12,0,"no 4-year degree"
"144",23,74,25338,2,41,14,0,"no 4-year degree"
"145",23,44,25338,2,40,13,0,"no 4-year degree"
"146",23,85,23898,1,39,12,0,"no 4-year degree"
"147",23,59,186917,4,39,12,0,"no 4-year degree"
"148",23,61,186917,4,40,13,0,"no 4-year degree"
"149",23,35,186917,4,39,12,0,"no 4-year degree"
"150",23,80,186917,4,39,12,0,"no 4-year degree"
"151",23,70,113800,2,40,13,0,"no 4-year degree"
"152",23,60,113800,2,44,18,0,"4-year degree"
"153",23,43,75152,4,39,12,0,"no 4-year degree"
"154",23,41,75152,4,43,16,0,"4-year degree"
"155",23,18,75152,4,37,11,0,"no 4-year degree"
"156",23,15,75152,4,35,9,0,"no 4-year degree"
"157",23,58,105823,2,37,11,0,"no 4-year degree"
"158",23,61,105823,2,39,12,0,"no 4-year degree"
"159",23,39,160222,4,40,13,0,"no 4-year degree"
"160",23,43,160222,4,40,13,0,"no 4-year degree"
"161",23,20,160222,4,40,13,0,"no 4-year degree"
"162",23,16,160222,4,35,9,0,"no 4-year degree"
"163",23,67,324808,2,43,16,0,"4-year degree"
"164",23,57,324808,2,43,16,0,"4-year degree"
"165",23,38,44005,3,40,13,0,"no 4-year degree"
"166",23,6,44005,3,0,0,0,"no 4-year degree"
"167",23,37,44005,3,39,12,0,"no 4-year degree"
"168",23,31,28476,2,42,14,0,"no 4-year degree"
"169",23,2,28476,2,0,0,0,"no 4-year degree"
"170",23,35,109801,3,42,14,0,"no 4-year degree"
"171",23,30,109801,3,43,16,0,"4-year degree"
"172",23,2,109801,3,0,0,0,"no 4-year degree"
"173",23,45,160407,3,41,14,0,"no 4-year degree"
"174",23,20,160407,3,39,12,0,"no 4-year degree"
"175",23,20,160407,3,39,12,0,"no 4-year degree"
"176",23,66,40070,2,43,16,0,"4-year degree"
"177",23,56,40070,2,39,12,0,"no 4-year degree"
"178",23,80,52560,2,44,18,0,"4-year degree"
"179",23,76,52560,2,39,12,0,"no 4-year degree"
"180",23,63,56018,3,40,13,0,"no 4-year degree"
"181",23,60,56018,3,41,14,0,"no 4-year degree"
"182",23,35,56018,3,39,12,0,"no 4-year degree"
"183",23,60,98063,2,40,13,0,"no 4-year degree"
"184",23,63,98063,2,39,12,0,"no 4-year degree"
"185",23,68,47382,3,39,12,0,"no 4-year degree"
"186",23,76,47382,3,39,12,0,"no 4-year degree"
"187",23,48,47382,3,39,12,0,"no 4-year degree"
"188",23,85,11263,1,34,8,0,"no 4-year degree"
"189",23,85,19922,1,40,13,0,"no 4-year degree"
"190",23,85,27169,1,44,18,0,"4-year degree"
"191",23,45,40010,1,39,12,0,"no 4-year degree"
"192",23,61,40548,2,40,13,0,"no 4-year degree"
"193",23,58,40548,2,39,12,0,"no 4-year degree"
"194",23,57,27084,1,42,14,0,"no 4-year degree"
"195",23,71,248385,2,43,16,0,"4-year degree"
"196",23,74,248385,2,43,16,0,"4-year degree"
"197",23,34,24034,3,40,13,0,"no 4-year degree"
"198",23,13,24034,3,0,0,0,"no 4-year degree"
"199",23,9,24034,3,0,0,0,"no 4-year degree"
"200",23,53,22898,2,42,14,0,"no 4-year degree"
"201",23,58,22898,2,39,12,0,"no 4-year degree"
"202",23,46,31608,3,39,12,0,"no 4-year degree"
"203",23,16,31608,3,36,10,0,"no 4-year degree"
"204",23,14,31608,3,0,0,0,"no 4-year degree"
"205",23,85,14400,1,39,12,0,"no 4-year degree"
"206",23,33,29000,2,43,16,0,"4-year degree"
"207",23,25,29000,2,43,16,0,"4-year degree"
"208",23,33,40000,4,39,12,0,"no 4-year degree"
"209",23,14,40000,4,0,0,0,"no 4-year degree"
"210",23,57,40000,4,44,18,0,"4-year degree"
"211",23,35,40000,4,39,12,0,"no 4-year degree"
"212",23,75,32299,2,39,12,0,"no 4-year degree"
"213",23,79,32299,2,39,12,0,"no 4-year degree"
"214",23,72,12000,1,32,4,0,"no 4-year degree"
"215",23,61,183580,2,39,12,0,"no 4-year degree"
"216",23,61,183580,2,41,14,0,"no 4-year degree"
"217",23,38,69601,4,40,13,0,"no 4-year degree"
"218",23,3,69601,4,0,0,0,"no 4-year degree"
"219",23,0,69601,4,0,0,0,"no 4-year degree"
"220",23,34,69601,4,40,13,0,"no 4-year degree"
"221",23,48,139384,4,39,12,0,"no 4-year degree"
"222",23,55,139384,4,43,16,0,"4-year degree"
"223",23,20,139384,4,43,16,0,"4-year degree"
"224",23,18,139384,4,39,12,0,"no 4-year degree"
"225",23,80,16560,1,34,8,0,"no 4-year degree"
"226",23,51,37501,2,39,12,0,"no 4-year degree"
"227",23,37,37501,2,37,11,0,"no 4-year degree"
"228",23,44,146026,2,43,16,0,"4-year degree"
"229",23,53,146026,2,43,16,0,"4-year degree"
"230",23,63,242032,2,39,12,0,"no 4-year degree"
"231",23,64,242032,2,39,12,0,"no 4-year degree"
"232",23,31,47500,2,39,12,0,"no 4-year degree"
"233",23,41,47500,2,40,13,0,"no 4-year degree"
"234",23,44,65028,3,41,14,0,"no 4-year degree"
"235",23,43,65028,3,39,12,0,"no 4-year degree"
"236",23,16,65028,3,37,11,0,"no 4-year degree"
"237",23,61,40000,3,39,12,0,"no 4-year degree"
"238",23,58,40000,3,39,12,0,"no 4-year degree"
"239",23,26,40000,3,39,12,0,"no 4-year degree"
"240",23,73,133143,2,41,14,0,"no 4-year degree"
"241",23,72,133143,2,40,13,0,"no 4-year degree"
"242",23,65,28363,4,37,11,0,"no 4-year degree"
"243",23,67,28363,4,36,10,0,"no 4-year degree"
"244",23,41,28363,4,35,9,0,"no 4-year degree"
"245",23,16,28363,4,36,10,0,"no 4-year degree"
"246",23,26,27602,2,40,13,0,"no 4-year degree"
"247",23,22,27602,2,39,12,0,"no 4-year degree"
"248",23,80,40765,2,39,12,0,"no 4-year degree"
"249",23,80,40765,2,39,12,0,"no 4-year degree"
"250",23,79,57409,1,39,12,0,"no 4-year degree"
"251",23,29,25000,2,39,12,0,"no 4-year degree"
"252",23,27,25000,2,39,12,0,"no 4-year degree"
"253",23,39,264146,4,44,18,0,"4-year degree"
"254",23,38,264146,4,44,18,0,"4-year degree"
"255",23,8,264146,4,0,0,0,"no 4-year degree"
"256",23,6,264146,4,0,0,0,"no 4-year degree"
"257",23,71,58061,2,39,12,0,"no 4-year degree"
"258",23,70,58061,2,39,12,0,"no 4-year degree"
"259",23,37,111800,4,43,16,0,"4-year degree"
"260",23,40,111800,4,43,16,0,"4-year degree"
"261",23,8,111800,4,0,0,0,"no 4-year degree"
"262",23,5,111800,4,0,0,0,"no 4-year degree"
"263",23,77,26982,1,34,8,0,"no 4-year degree"
"264",23,64,38017,1,42,14,0,"no 4-year degree"
"265",23,49,152043,2,42,14,0,"no 4-year degree"
"266",23,50,152043,2,39,12,0,"no 4-year degree"
"267",23,76,111315,2,46,20,0,"4-year degree"
"268",23,73,111315,2,46,20,0,"4-year degree"
"269",23,80,90940,2,43,16,0,"4-year degree"
"270",23,85,90940,2,39,12,0,"no 4-year degree"
"271",23,53,9540,1,39,12,0,"no 4-year degree"
"272",23,80,29673,1,39,12,0,"no 4-year degree"
"273",23,25,159008,2,46,20,0,"4-year degree"
"274",23,26,159008,2,43,16,0,"4-year degree"
"275",23,51,104412,2,43,16,0,"4-year degree"
"276",23,52,104412,2,39,12,0,"no 4-year degree"
"277",23,72,58058,2,39,12,0,"no 4-year degree"
"278",23,74,58058,2,39,12,0,"no 4-year degree"
"279",23,48,36001,1,40,13,0,"no 4-year degree"
"280",23,79,17622,1,36,10,0,"no 4-year degree"
"281",23,75,26983,1,42,14,0,"no 4-year degree"
"282",23,25,47598,3,42,14,0,"no 4-year degree"
"283",23,1,47598,3,0,0,0,"no 4-year degree"
"284",23,26,47598,3,40,13,0,"no 4-year degree"
"285",23,57,68002,1,40,13,0,"no 4-year degree"
"286",23,66,153097,2,42,14,0,"no 4-year degree"
"287",23,57,153097,2,42,14,0,"no 4-year degree"
"288",23,76,250324,4,39,12,0,"no 4-year degree"
"289",23,18,250324,4,37,11,0,"no 4-year degree"
"290",23,42,250324,4,43,16,0,"4-year degree"
"291",23,41,250324,4,39,12,0,"no 4-year degree"
"292",23,44,196105,2,43,16,0,"4-year degree"
"293",23,44,196105,2,43,16,0,"4-year degree"
"294",23,50,186254,4,43,16,0,"4-year degree"
"295",23,51,186254,4,42,14,0,"no 4-year degree"
"296",23,21,186254,4,40,13,0,"no 4-year degree"
"297",23,18,186254,4,40,13,0,"no 4-year degree"
"298",23,35,94273,3,43,16,0,"4-year degree"
"299",23,46,94273,3,40,13,0,"no 4-year degree"
"300",23,14,94273,3,0,0,0,"no 4-year degree"
"301",23,53,144391,3,43,16,0,"4-year degree"
"302",23,25,144391,3,43,16,0,"4-year degree"
"303",23,74,144391,3,43,16,0,"4-year degree"
"304",23,37,75200,4,40,13,0,"no 4-year degree"
"305",23,15,75200,4,34,8,0,"no 4-year degree"
"306",23,15,75200,4,34,8,0,"no 4-year degree"
"307",23,9,75200,4,0,0,0,"no 4-year degree"
"308",23,45,80508,3,43,16,0,"4-year degree"
"309",23,16,80508,3,35,9,0,"no 4-year degree"
"310",23,14,80508,3,0,0,0,"no 4-year degree"
"311",23,41,139661,5,43,16,1e+05,"4-year degree"
"312",23,41,139661,5,40,13,1e+05,"no 4-year degree"
"313",23,15,139661,5,35,9,1e+05,"no 4-year degree"
"314",23,13,139661,5,0,0,1e+05,"no 4-year degree"
"315",23,16,139661,5,35,9,1e+05,"no 4-year degree"
"316",23,74,35383,1,39,12,1e+05,"no 4-year degree"
"317",23,85,57942,2,40,13,1e+05,"no 4-year degree"
"318",23,85,57942,2,43,16,1e+05,"4-year degree"
"319",23,65,54896,2,39,12,1e+05,"no 4-year degree"
"320",23,65,54896,2,39,12,1e+05,"no 4-year degree"
"321",23,54,156409,2,39,12,1e+05,"no 4-year degree"
"322",23,58,156409,2,39,12,1e+05,"no 4-year degree"
"323",23,85,25361,1,32,4,1e+05,"no 4-year degree"
"324",23,52,256645,3,43,16,1e+05,"4-year degree"
"325",23,51,256645,3,43,16,1e+05,"4-year degree"
"326",23,16,256645,3,36,10,1e+05,"no 4-year degree"
"327",23,22,16300,1,40,13,1e+05,"no 4-year degree"
"328",23,49,36123,1,40,13,1e+05,"no 4-year degree"
"329",23,75,71666,2,39,12,1e+05,"no 4-year degree"
"330",23,68,71666,2,43,16,1e+05,"4-year degree"
"331",23,36,49521,2,43,16,1e+05,"4-year degree"
"332",23,5,49521,2,0,0,1e+05,"no 4-year degree"
"333",23,51,70001,1,41,14,1e+05,"no 4-year degree"
"334",23,61,440820,2,40,13,1e+05,"no 4-year degree"
"335",23,52,440820,2,43,16,1e+05,"4-year degree"
"336",23,80,32000,1,40,13,1e+05,"no 4-year degree"
"337",23,63,126906,2,39,12,1e+05,"no 4-year degree"
"338",23,63,126906,2,40,13,1e+05,"no 4-year degree"
"339",23,72,97036,2,43,16,1e+05,"4-year degree"
"340",23,71,97036,2,39,12,1e+05,"no 4-year degree"
"341",23,59,40010,2,39,12,1e+05,"no 4-year degree"
"342",23,12,40010,2,0,0,1e+05,"no 4-year degree"
"343",23,66,127648,2,40,13,1e+05,"no 4-year degree"
"344",23,66,127648,2,40,13,1e+05,"no 4-year degree"
"345",23,76,43146,2,39,12,1e+05,"no 4-year degree"
"346",23,77,43146,2,39,12,1e+05,"no 4-year degree"
"347",23,54,59058,3,39,12,1e+05,"no 4-year degree"
"348",23,61,59058,3,39,12,1e+05,"no 4-year degree"
"349",23,18,59058,3,37,11,1e+05,"no 4-year degree"
"350",23,37,6479,5,40,13,1e+05,"no 4-year degree"
"351",23,16,6479,5,36,10,1e+05,"no 4-year degree"
"352",23,14,6479,5,0,0,1e+05,"no 4-year degree"
"353",23,10,6479,5,0,0,1e+05,"no 4-year degree"
"354",23,39,6479,5,37,11,1e+05,"no 4-year degree"
"355",23,74,18302,1,34,8,1e+05,"no 4-year degree"
"356",23,54,43100,2,43,16,1e+05,"4-year degree"
"357",23,31,43100,2,40,13,1e+05,"no 4-year degree"
"358",23,42,230491,4,41,14,1e+05,"no 4-year degree"
"359",23,44,230491,4,41,14,1e+05,"no 4-year degree"
"360",23,22,230491,4,41,14,1e+05,"no 4-year degree"
"361",23,20,230491,4,40,13,1e+05,"no 4-year degree"
"362",23,57,44160,2,39,12,1e+05,"no 4-year degree"
"363",23,56,44160,2,39,12,1e+05,"no 4-year degree"
"364",23,63,16700,1,39,12,1e+05,"no 4-year degree"
"365",23,31,68586,3,39,12,1e+05,"no 4-year degree"
"366",23,25,68586,3,42,14,1e+05,"no 4-year degree"
"367",23,25,68586,3,39,12,1e+05,"no 4-year degree"
"368",23,41,110212,4,42,14,1e+05,"no 4-year degree"
"369",23,38,110212,4,39,12,1e+05,"no 4-year degree"
"370",23,18,110212,4,37,11,1e+05,"no 4-year degree"
"371",23,15,110212,4,34,8,1e+05,"no 4-year degree"
"372",23,55,63067,2,39,12,1e+05,"no 4-year degree"
"373",23,60,63067,2,39,12,1e+05,"no 4-year degree"
"374",23,29,19500,4,37,11,1e+05,"no 4-year degree"
"375",23,8,19500,4,0,0,1e+05,"no 4-year degree"
"376",23,5,19500,4,0,0,1e+05,"no 4-year degree"
"377",23,26,19500,4,35,9,1e+05,"no 4-year degree"
"378",23,52,579998,6,45,20,1e+05,"4-year degree"
"379",23,54,579998,6,45,20,1e+05,"4-year degree"
"380",23,19,579998,6,40,13,1e+05,"no 4-year degree"
"381",23,17,579998,6,36,10,1e+05,"no 4-year degree"
"382",23,15,579998,6,34,8,1e+05,"no 4-year degree"
"383",23,15,579998,6,34,8,1e+05,"no 4-year degree"
"384",23,85,11182,3,37,11,1e+05,"no 4-year degree"
"385",23,50,11182,3,39,12,1e+05,"no 4-year degree"
"386",23,50,11182,3,39,12,1e+05,"no 4-year degree"
"387",23,74,147854,2,44,18,1e+05,"4-year degree"
"388",23,76,147854,2,43,16,1e+05,"4-year degree"
"389",23,53,104085,3,43,16,1e+05,"4-year degree"
"390",23,58,104085,3,44,18,1e+05,"4-year degree"
"391",23,21,104085,3,39,12,1e+05,"no 4-year degree"
"392",23,68,68073,2,36,10,1e+05,"no 4-year degree"
"393",23,56,68073,2,39,12,1e+05,"no 4-year degree"
"394",23,62,75414,2,39,12,1e+05,"no 4-year degree"
"395",23,65,75414,2,46,20,1e+05,"4-year degree"
"396",23,46,148900,2,39,12,1e+05,"no 4-year degree"
"397",23,43,148900,2,39,12,1e+05,"no 4-year degree"
"398",23,58,100214,3,39,12,1e+05,"no 4-year degree"
"399",23,56,100214,3,40,13,1e+05,"no 4-year degree"
"400",23,25,100214,3,40,13,1e+05,"no 4-year degree"
"401",23,35,133560,4,44,18,1e+05,"4-year degree"
"402",23,35,133560,4,43,16,1e+05,"4-year degree"
"403",23,7,133560,4,0,0,1e+05,"no 4-year degree"
"404",23,3,133560,4,0,0,1e+05,"no 4-year degree"
"405",23,56,27534,2,44,18,1e+05,"4-year degree"
"406",23,56,27534,2,44,18,1e+05,"4-year degree"
"407",23,22,89739,3,40,13,1e+05,"no 4-year degree"
"408",23,20,89739,3,40,13,1e+05,"no 4-year degree"
"409",23,18,89739,3,39,12,1e+05,"no 4-year degree"
"410",23,42,158054,2,43,16,1e+05,"4-year degree"
"411",23,8,158054,2,0,0,1e+05,"no 4-year degree"
"412",23,47,41183,2,39,12,1e+05,"no 4-year degree"
"413",23,43,41183,2,39,12,1e+05,"no 4-year degree"
"414",23,70,60600,2,39,12,1e+05,"no 4-year degree"
"415",23,85,60600,2,39,12,1e+05,"no 4-year degree"
"416",23,85,21730,1,40,13,1e+05,"no 4-year degree"
"417",23,70,150985,2,38,11,1e+05,"no 4-year degree"
"418",23,69,150985,2,40,13,1e+05,"no 4-year degree"
"419",23,73,92370,2,46,20,1e+05,"4-year degree"
"420",23,70,92370,2,43,16,1e+05,"4-year degree"
"421",23,73,93319,2,39,12,1e+05,"no 4-year degree"
"422",23,43,93319,2,39,12,1e+05,"no 4-year degree"
"423",23,58,90031,1,43,16,1e+05,"4-year degree"
"424",23,80,56008,2,41,14,1e+05,"no 4-year degree"
"425",23,43,56008,2,43,16,1e+05,"4-year degree"
"426",23,70,102492,3,39,12,1e+05,"no 4-year degree"
"427",23,85,102492,3,39,12,1e+05,"no 4-year degree"
"428",23,68,102492,3,39,12,1e+05,"no 4-year degree"
"429",23,65,28800,1,34,8,1e+05,"no 4-year degree"
"430",23,28,72005,4,39,12,1e+05,"no 4-year degree"
"431",23,8,72005,4,0,0,1e+05,"no 4-year degree"
"432",23,5,72005,4,0,0,1e+05,"no 4-year degree"
"433",23,3,72005,4,0,0,1e+05,"no 4-year degree"
"434",23,58,79149,2,39,12,1e+05,"no 4-year degree"
"435",23,62,79149,2,39,12,1e+05,"no 4-year degree"
"436",23,67,68636,8,39,12,1e+05,"no 4-year degree"
"437",23,63,68636,8,40,13,1e+05,"no 4-year degree"
"438",23,24,68636,8,35,9,1e+05,"no 4-year degree"
"439",23,44,68636,8,35,9,1e+05,"no 4-year degree"
"440",23,12,68636,8,0,0,1e+05,"no 4-year degree"
"441",23,49,68636,8,39,12,1e+05,"no 4-year degree"
"442",23,13,68636,8,0,0,1e+05,"no 4-year degree"
"443",23,45,68636,8,39,12,1e+05,"no 4-year degree"
"444",23,50,47906,3,41,14,1e+05,"no 4-year degree"
"445",23,56,47906,3,40,13,1e+05,"no 4-year degree"
"446",23,19,47906,3,40,13,1e+05,"no 4-year degree"
"447",23,52,13106,2,43,16,1e+05,"4-year degree"
"448",23,10,13106,2,0,0,1e+05,"no 4-year degree"
"449",23,43,157936,4,43,16,1e+05,"4-year degree"
"450",23,41,157936,4,44,18,1e+05,"4-year degree"
"451",23,15,157936,4,35,9,1e+05,"no 4-year degree"
"452",23,13,157936,4,0,0,1e+05,"no 4-year degree"
"453",23,45,51200,3,40,13,1e+05,"no 4-year degree"
"454",23,14,51200,3,0,0,1e+05,"no 4-year degree"
"455",23,64,51200,3,42,14,1e+05,"no 4-year degree"
"456",23,42,117530,3,39,12,1e+05,"no 4-year degree"
"457",23,16,117530,3,35,9,1e+05,"no 4-year degree"
"458",23,32,117530,3,43,16,1e+05,"4-year degree"
"459",23,70,70189,2,40,13,1e+05,"no 4-year degree"
"460",23,66,70189,2,39,12,1e+05,"no 4-year degree"
"461",23,61,59330,2,43,16,1e+05,"4-year degree"
"462",23,29,59330,2,43,16,1e+05,"4-year degree"
"463",23,58,62044,2,39,12,1e+05,"no 4-year degree"
"464",23,58,62044,2,39,12,1e+05,"no 4-year degree"
"465",23,57,30000,1,39,12,1e+05,"no 4-year degree"
"466",23,30,70414,3,40,13,1e+05,"no 4-year degree"
"467",23,30,70414,3,39,12,1e+05,"no 4-year degree"
"468",23,3,70414,3,0,0,1e+05,"no 4-year degree"
"469",23,63,8100,2,39,12,1e+05,"no 4-year degree"
"470",23,58,8100,2,39,12,1e+05,"no 4-year degree"
"471",23,45,55536,2,42,14,1e+05,"no 4-year degree"
"472",23,20,55536,2,40,13,1e+05,"no 4-year degree"
"473",23,70,150985,2,40,13,1e+05,"no 4-year degree"
"474",23,69,150985,2,38,11,1e+05,"no 4-year degree"
"475",23,40,77526,4,40,13,1e+05,"no 4-year degree"
"476",23,17,77526,4,36,10,1e+05,"no 4-year degree"
"477",23,15,77526,4,34,8,1e+05,"no 4-year degree"
"478",23,35,77526,4,39,12,1e+05,"no 4-year degree"
"479",23,29,56763,4,39,12,1e+05,"no 4-year degree"
"480",23,28,56763,4,39,12,1e+05,"no 4-year degree"
"481",23,7,56763,4,0,0,1e+05,"no 4-year degree"
"482",23,4,56763,4,0,0,1e+05,"no 4-year degree"
"483",23,32,76400,4,39,12,1e+05,"no 4-year degree"
"484",23,13,76400,4,0,0,1e+05,"no 4-year degree"
"485",23,2,76400,4,0,0,1e+05,"no 4-year degree"
"486",23,41,76400,4,39,12,1e+05,"no 4-year degree"
"487",23,39,91552,3,39,12,1e+05,"no 4-year degree"
